listed_in,show_id,category_type
British TV Shows,80217627,Genre
TV Comedies,80178724,Genre
Comedies,81132442,Genre
Kids' TV,81020066,Genre
Kids' TV,81193245,Genre
Dramas,81172723,Genre
Comedies,80990336,Genre
Action & Adventure,81172909,Genre
Documentaries,80214706,Genre
Comedies,80994011,Genre
Docuseries,80208910,Genre
Dramas,81172902,Genre
Comedies,80998890,Genre
Dramas,81047903,Genre
Dramas,81026343,Genre
Children & Family Movies,80208635,Genre
Children & Family Movies,70125931,Genre
Kids' TV,80222326,Genre
Children & Family Movies,70235768,Genre
Stand-Up Comedy,80177406,Genre
International TV Shows,81077044,Genre
Documentaries,81081656,Genre
Documentaries,81187847,Genre
Stand-Up Comedy,81053240,Genre
International TV Shows,81167011,Genre
Horror Movies,80043834,Genre
Documentaries,81157840,Genre
Stand-Up Comedy,80244900,Genre
Action & Adventure,80211134,Genre
Dramas,70271601,Genre
International TV Shows,80136786,Genre
International TV Shows,80136788,Genre
International TV Shows,80136787,Genre
International TV Shows,80136454,Genre
Dramas,80204433,Genre
Documentaries,80089199,Genre
Stand-Up Comedy,80043049,Genre
Dramas,80044545,Genre
Dramas,80070182,Genre
Crime TV Shows,80176234,Genre
Dramas,80992769,Genre
Dramas,81191228,Genre
Docuseries,81154549,Genre
Kids' TV,81192594,Genre
International TV Shows,81006356,Genre
Dramas,81025935,Genre
Dramas,81020508,Genre
British TV Shows,80241004,Genre
International Movies,80201824,Genre
Dramas,80203782,Genre
Dramas,80201829,Genre
Documentaries,80126016,Genre
Dramas,80202089,Genre
Dramas,80203789,Genre
Documentaries,80193423,Genre
Dramas,80201825,Genre
Kids' TV,80202376,Genre
Dramas,80028360,Genre
Horror Movies,80203783,Genre
Thrillers,80142617,Genre
Dramas,80201823,Genre
Dramas,80190841,Genre
Action & Adventure,80115858,Genre
Kids' TV,80183199,Genre
Comedies,80158547,Genre
Comedies,80206827,Genre
Action & Adventure,80202090,Genre
Comedies,80203790,Genre
Dramas,80158391,Genre
Action & Adventure,80201822,Genre
Documentaries,80211540,Genre
Comedies,80123743,Genre
Action & Adventure,70258995,Genre
Action & Adventure,70208801,Genre
Action & Adventure,70260383,Genre
Comedies,80123744,Genre
Anime Series,70204970,Genre
Action & Adventure,70105699,Genre
Action & Adventure,70124999,Genre
Kids' TV,80088507,Genre
Crime TV Shows,80080727,Genre
Stand-Up Comedy,80990869,Genre
Comedies,80187205,Genre
Documentaries,80097472,Genre
Dramas,80075009,Genre
Docuseries,70293417,Genre
Stand-Up Comedy,70280748,Genre
Dramas,81034012,Genre
Crime TV Shows,81191500,Genre
Dramas,81019031,Genre
International TV Shows,80180544,Genre
Comedies,80148070,Genre
Dramas,80155812,Genre
Stand-Up Comedy,80183198,Genre
Documentaries,80158844,Genre
