director,show_id,directing_style,active_years
Shaad Ali,81019031,Drama,2010-Present
Mahmoud al Massad,80148070,Drama,2010-Present
Yesim Ustaoglu,80155812,Drama,2010-Present
Jan Suter,80183198,Drama,2010-Present
Lucy Cohen,80158844,Drama,2010-Present
McG,80164456,Drama,2010-Present
Noah Baumbach,80174434,Drama,2010-Present
Christopher Guest,80075476,Drama,2010-Present
Gareth Evans,80158148,Drama,2010-Present
Paul Urkijo Alijo,80239565,Drama,2010-Present
Johanna Demetrakas,80216844,Drama,2010-Present
Padraic McKinley,80187722,Drama,2010-Present
Rizal Mantovani,81021082,Drama,2010-Present
Kief Davidson,80191047,Drama,2010-Present
Sara Colangelo,80240972,Drama,2010-Present
Mahmoud Sabbagh,80103282,Drama,2010-Present
Borja Cobeaga,80134526,Drama,2010-Present
Jonathan Demme,80127559,Drama,2010-Present
Leo Riley,80005501,Drama,2010-Present
Hakan Algül,81132441,Drama,2010-Present
Vince Gilligan,81078819,Drama,2010-Present
Brad Anderson,80223997,Drama,2010-Present
Bolanle Austen-Peters,81191666,Drama,2010-Present
Sion Sono,81133621,Drama,2010-Present
Dennis Rovira van Boekholt,81038598,Drama,2010-Present
Angga Dwimas Sasongko,81016322,Drama,2010-Present
Mohamed Diab,80147323,Drama,2010-Present
Naoto Amazutsumi,81171871,Drama,2010-Present
Paul Greengrass,80210932,Drama,2010-Present
Rusty Cundieff,81015317,Drama,2010-Present
Jay Karas,80205204,Drama,2010-Present
Alastair Fothergill,70235731,Drama,2010-Present
James Yukich,80003481,Drama,2010-Present
Maciej Dejczer,81168338,Drama,2010-Present
Rusty Nixon,81103033,Drama,2010-Present
Lee Tamahori,60002273,Drama,2010-Present
Richard Rich,70297962,Drama,2010-Present
Michael Bay,269880,Drama,2010-Present
Michael Bay,60029167,Drama,2010-Present
Ted Demme,60020891,Drama,2010-Present
Bernard Rose,347365,Drama,2010-Present
McG,60003242,Drama,2010-Present
McG,60027726,Drama,2010-Present
Lee Yoon-jung,81166946,Drama,2010-Present
Paul Haggis,70023961,Drama,2010-Present
Troy Miller,60027716,Drama,2010-Present
Dave Green,70287957,Drama,2010-Present
Wojciech Marczewski,81168345,Drama,2010-Present
Andrzej Bartkowiak,60020892,Drama,2010-Present
Roy Poortmans,81164752,Drama,2010-Present
Brian Robbins,60028097,Drama,2010-Present
Mark Helfrich,70065112,Drama,2010-Present
Jon Hurwitz,70083108,Drama,2010-Present
Bille Woodruff,70184050,Drama,2010-Present
Janusz Majewski,81168347,Drama,2010-Present
Alex Merkin,81003460,Drama,2010-Present
Janusz Majewski,81168348,Drama,2010-Present
Alex Proyas,70095135,Drama,2010-Present
Vrinda Samartha,81191254,Drama,2010-Present
Jacek Koprowicz,81168340,Drama,2010-Present
Barry Sonnenfeld,60023597,Drama,2010-Present
Nicholaus Goossen,81002876,Drama,2010-Present
Scott Hicks,70058017,Drama,2010-Present
Steven Soderbergh,70058024,Drama,2010-Present
Steven Soderbergh,70011211,Drama,2010-Present
Morgan Spurlock,70271599,Drama,2010-Present
Martin Scorsese,70020699,Drama,2010-Present
Stig Bergqvist,60003540,Drama,2010-Present
Wes Craven,1181550,Drama,2010-Present
Asif Kapadia,70170051,Drama,2010-Present
Robert Rodriguez,70021630,Drama,2010-Present
Dorian Fernández-Moris,81043753,Drama,2010-Present
Jeannot Szwarc,60001761,Drama,2010-Present
Bryan Singer,70041963,Drama,2010-Present
Ash Brannon,70058025,Drama,2010-Present
Andy Tennant,70128696,Drama,2010-Present
Rob Reiner,70077542,Drama,2010-Present
Marek Piwowski,81168342,Drama,2010-Present
Kunle Afolayan,81165772,Drama,2010-Present
Brian Levant,510854,Drama,2010-Present
Brian Levant,60000921,Drama,2010-Present
